No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP27112366-19060125-0-12-0-0/left,top,width,height/full/0/default.jpg
0	iit	O	O	-	0	316	336	264	282	-
0	kennzeichnend	O	O	-	0	352	470	264	286	-
0	fuͤr	O	O	-	0	486	513	266	288	-
0	Jhre	O	O	-	0	529	571	266	286	-
0	einſeitige	O	O	-	0	588	667	267	288	-
0	Tolerann	O	O	-	0	683	761	267	288	-
0	in	O	O	-	0	781	799	269	286	-
0	Rede	O	O	-	0	818	862	269	288	-
0	un	O	O	-	0	881	903	274	288	-
0	Handiunz	O	O	-	0	315	410	286	307	-
0	,	O	O	-	0	315	410	286	307	-
0	die	O	O	-	0	437	462	288	305	-
0	vollſtaͤndige	O	O	-	0	490	590	288	310	-
0	Ubſrerrung	O	O	-	0	618	724	289	311	-
0	.	O	O	-	0	618	724	289	311	-
0		O	O	-	0	751	861	288	311	-
0	Verbitterung	O	O	-	0	751	861	288	311	-
0	un	O	O	-	0	881	903	295	308	-
0	Rerbetznng	O	O	-	0	316	412	307	328	-
0	in	O	O	-	0	442	458	308	325	-
0	die	O	O	-	0	486	511	308	325	-
0	Maſien	O	O	-	0	537	602	308	329	-
0	bineintragzen	O	O	-	0	627	737	310	332	-
0	will	O	O	-	0	765	800	311	328	-
0	.	O	O	-	0	765	800	311	328	-
0	nan	O	O	-	0	832	903	311	330	-
0	Uder	O	O	-	0	832	903	311	330	-
0	wichtige	O	O	-	0	316	385	327	348	-
0	Beſtimmungen	O	O	-	0	405	539	327	350	-
0	wie	O	O	-	0	569	599	330	346	-
0	den	O	O	-	0	630	660	332	347	-
0	58	O	O	-	0	691	701	332	352	-
0	13	O	O	-	0	710	753	332	352	-
0	,	O	O	-	0	710	753	332	352	-
0	der	O	O	-	0	780	807	332	348	-
0	das	O	O	-	0	833	863	332	348	-
0	ge	O	O	-	0	890	908	336	352	-
0	ſfamte	O	O	-	0	317	365	348	366	-
0	Schuiweſen	O	O	-	0	393	493	348	367	-
0	dem	O	O	-	0	524	558	351	366	-
0	Klerikalismnt	O	O	-	0	589	712	349	368	-
0	autlietern	O	O	-	0	742	828	352	369	-
0	würde	O	O	-	0	858	909	352	369	-
0	iit	O	O	-	0	315	335	368	385	-
0	in	O	O	-	0	346	363	373	385	-
0	der	O	O	-	0	373	399	368	385	-
0	Kommiſſton	O	O	-	0	409	512	369	388	-
0	nicht	O	O	-	0	529	568	370	390	-
0	ein	O	O	-	0	579	605	371	387	-
0	QLont	O	O	-	0	615	663	371	389	-
0	geſprecken	O	O	-	0	680	767	372	390	-
0	worden	O	O	-	0	777	845	374	389	-
0	.	O	O	-	0	777	845	374	389	-
0	nan	O	O	-	0	865	908	372	390	-
